,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genre
0,1,The Irishman,2019,18+,98/100,1,0,0,0,0,"Biography,Crime,Drama"
1,2,Dangal,2016,7+,97/100,1,0,0,0,0,"Action,Biography,Drama,Sport"
2,3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,"Documentary,Biography"
3,4,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0,"Drama,Musical,Sport"
4,5,Roma,2018,18+,94/100,1,0,0,0,0,"Action,Drama,History,Romance,War"
5,6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,"Comedy,Drama,Romance"
6,7,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,"Documentary,Drama"
7,8,Okja,2017,13+,92/100,1,0,0,0,0,"Action,Adventure,Drama,Sci-Fi"
8,9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,"Comedy,Drama,Musical,Mystery,Romance,Western"
9,10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,"Drama,History,Thriller"
10,11,Article 15,2019,18+,92/100,1,0,0,0,0,"Crime,Drama,Mystery,Thriller"
11,12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0,Documentary
12,13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,"Biography,Comedy,Drama"
13,14,Mudbound,2017,18+,91/100,1,0,0,0,0,"Drama,War"
14,15,Swades,2004,all,91/100,1,0,0,0,0,Drama
15,16,Fyre,2019,18+,91/100,1,0,0,0,0,"Documentary,Crime,Music"
16,17,Miss Americana,2020,18+,90/100,1,0,0,0,0,"Documentary,Biography,Music"
17,18,Virunga,2014,16+,90/100,1,0,0,0,0,"Documentary,War"
18,19,Black Friday,2004,18+,90/100,1,0,0,0,0,"Action,Crime,Drama,History"
19,20,Talvar,2015,7+,90/100,1,0,0,0,0,"Crime,Drama,Mystery,Thriller"
20,21,The King,2019,18+,90/100,1,0,0,0,0,"Biography,Drama,History,Romance,War"
21,22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,Comedy
22,23,I Am Mother,2019,13+,89/100,1,0,0,0,0,"Drama,Mystery,Sci-Fi,Thriller"
23,24,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,"Drama,Thriller"
24,25,The Departed,2006,18+,89/100,1,0,0,0,0,"Crime,Drama,Thriller"
25,26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,Documentary
26,27,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,0,"Action,Sci-Fi"
27,28,I Lost My Body,2019,18+,89/100,1,0,0,0,0,"Animation,Drama,Fantasy,Romance"
28,29,Django Unchained,2012,18+,89/100,1,0,0,0,0,"Drama,Western"
29,30,The Half of It,2020,13+,89/100,1,0,0,0,0,"Comedy,Drama,Romance"
30,31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,"Biography,Drama,History"
31,32,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,"Crime,Drama,Thriller"
32,33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,"Comedy,Drama"
33,34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,Drama
34,35,Gerald's Game,2017,18+,88/100,1,0,0,0,0,"Drama,Horror,Thriller"
35,36,On Body and Soul,2017,,88/100,1,0,0,0,0,"Drama,Fantasy,Mystery,Romance"
36,37,Shutter Island,2010,18+,88/100,1,0,0,0,0,"Mystery,Thriller"
37,38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,"Comedy,Romance"
38,39,The Intouchables,2011,7+,88/100,1,0,0,0,0,"Biography,Comedy,Drama"
39,40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,Comedy
40,41,Special 26,2013,,87/100,1,0,0,0,0,"Crime,Drama,Thriller"
41,42,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,Documentary
42,43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,"Documentary,History"
43,44,Extraction,2020,18+,87/100,1,0,0,0,0,"Action,Thriller"
44,45,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0,"Documentary,Biography"
45,46,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0,"Drama,Musical,Romance"
46,47,His House,2020,16+,87/100,1,0,0,0,0,"Drama,Horror,Thriller"
47,48,Super Deluxe,2019,18+,87/100,1,0,0,0,0,"Comedy,Crime,Drama,Thriller"
48,49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,"Drama,Romance,War"
49,50,A Secret Love,2020,18+,87/100,1,0,0,0,0,"Documentary,Drama"
50,51,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,"Action,Thriller"
51,52,The Big Lebowski,1998,18+,87/100,1,0,0,0,0,"Comedy,Crime,Sport"
52,53,Pad Man,2018,13+,87/100,1,0,0,0,0,"Comedy,Drama"
53,54,American Factory,2019,13+,86/100,1,0,0,0,0,Documentary
54,55,Bird Box,2018,18+,86/100,1,0,0,0,0,"Horror,Sci-Fi"
55,56,The Pianist,2002,18+,86/100,1,0,0,0,0,"Biography,Drama,Music,War"
56,57,3 Idiots,2009,13+,86/100,1,0,0,0,0,"Comedy,Drama"
57,58,The Distinguished Citizen,2016,,86/100,1,0,0,0,0,"Comedy,Drama"
58,59,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi"
59,60,A Clockwork Orange,1971,18+,86/100,1,0,0,0,0,"Crime,Drama,Sci-Fi"
60,61,What Happened to Monday,2017,18+,86/100,1,0,0,0,0,"Action,Crime,Fantasy,Mystery,Sci-Fi,Thriller"
61,62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0,Comedy
62,63,The White Helmets,2016,16+,86/100,1,0,0,0,0,"Documentary,Short,War"
63,64,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
64,65,Happy as Lazzaro,2018,13+,85/100,1,0,0,0,0,"Drama,Fantasy,Mystery"
65,66,Chasing Coral,2017,,85/100,1,0,0,0,0,Documentary
66,67,Kal Ho Naa Ho,2003,all,85/100,1,0,0,0,0,"Comedy,Drama,Musical,Romance"
67,68,Pan's Labyrinth,2006,18+,85/100,1,0,0,0,0,"Drama,Fantasy,War"
68,69,Team Foxcatcher,2016,16+,85/100,1,0,0,0,0,"Documentary,Biography,Crime,History,Sport"
69,70,The Meyerowitz Stories (New and Selected),2017,18+,85/100,1,0,0,0,0,"Comedy,Drama"
70,71,Casino Royale,2006,13+,85/100,1,0,0,0,0,"Action,Adventure,Thriller"
71,72,The Hateful Eight,2015,18+,85/100,1,0,0,0,0,"Crime,Drama,Mystery,Thriller,Western"
72,73,Rush,2013,18+,84/100,1,0,0,0,0,"Action,Biography,Drama,Sport"
73,74,Zombieland,2009,18+,84/100,1,0,0,0,0,"Adventure,Comedy,Fantasy,Horror,Sci-Fi"
74,75,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100,1,0,0,0,0,"Comedy,Music"
75,76,Kapoor & Sons,2016,13+,84/100,1,0,0,0,0,"Comedy,Drama,Family,Romance"
76,77,The Perfection,2018,18+,84/100,1,0,0,0,0,"Drama,Horror,Music,Thriller"
77,78,Dave Chappelle: Sticks & Stones,2019,18+,84/100,1,0,0,0,0,Comedy
78,79,There Will Be Blood,2007,18+,84/100,1,0,0,0,0,Drama
79,80,Million Dollar Baby,2004,13+,84/100,1,0,0,0,0,"Drama,Sport"
80,81,The Social Network,2010,13+,84/100,1,1,0,0,0,"Biography,Drama"
81,82,The Christmas Chronicles,2018,7+,84/100,1,0,0,0,0,"Adventure,Comedy,Family,Fantasy"
